かかる,,to take (amount of time/money),10,GODAN,Genki I,JPN 102
きめる,決める,to decide ,10,ICHIDAN,Genki I,JPN 102
ごろごろする,,to chill out at home; to stay home do nothing ,10,IRREGULAR,Genki I,JPN 102
とまる,泊まる,"to stay (at a hotel, etc.)",10,GODAN,Genki I,JPN 102
なる,,to become,10,GODAN,Genki I,JPN 102
りょこうする,旅行する,to travel ,10,IRREGULAR,Genki I,JPN 102
れんしゅうする,練習する,to practice ,10,IRREGULAR,Genki I,JPN 102
うそをつく,,to tell a lie,11,GODAN,Genki I,JPN 102
おなかがすく,,to become hungry,11,GODAN,Genki I,JPN 102
かう,飼う,to own (a pet),11,GODAN,Genki I,JPN 102
けんかする,,to have a fight; to quarrel ,11,IRREGULAR,Genki I,JPN 102
サボる,,to cut (classes),11,GODAN,Genki I,JPN 102
しょうかいする,紹介する,to introduce ,11,IRREGULAR,Genki I,JPN 102
ダイエットする,,to go on a diet ,11,IRREGULAR,Genki I,JPN 102
ちこくする,遅刻する,to be late (for an appointment) ,11,IRREGULAR,Genki I,JPN 102
つかれる,疲れる,to get tired ,11,ICHIDAN,Genki I,JPN 102
ならう,習う,to learn,11,GODAN,Genki I,JPN 102
のぼる,登る,to climb,11,GODAN,Genki I,JPN 102
はしる,走る,to run,11,GODAN,Genki I,JPN 102
やめる,,to quit ,11,ICHIDAN,Genki I,JPN 102
りゅうがくする,留学する,to study abroad ,11,IRREGULAR,Genki I,JPN 102
あるく,歩く,to walk,12,GODAN,Genki I,JPN 102
かぜをひく,風邪をひく,to catch a cold,12,GODAN,Genki I,JPN 102
きょうみがある,興味がある,to be interested (in),12,GODAN,Genki I,JPN 102
きんちょうする,緊張する,to get nervous ,12,IRREGULAR,Genki I,JPN 102
しんぱいする,心配する,to worry ,12,IRREGULAR,Genki I,JPN 102
せきがでる,せきが出る,to cough ,12,ICHIDAN,Genki I,JPN 102
なくす,,to lose,12,GODAN,Genki I,JPN 102
ねつがある,熱がある,to have a fever,12,GODAN,Genki I,JPN 102
のどがかわく,喉が渇く,to become thirsty,12,GODAN,Genki I,JPN 102
はらう,払う,to pay,12,GODAN,Genki I,JPN 102
わかれる,別れる,to break up; to separate ,12,ICHIDAN,Genki I,JPN 102
こっせつする,骨折する,to break (a bone),12,IRREGULAR,Genki I,JPN 102
はく,吐く,to throw up,12,GODAN,Genki I,JPN 102
めまいがする,,to feel dizzy,12,IRREGULAR,Genki I,JPN 102
やけどをする,,to burn oneself,12,IRREGULAR,Genki I,JPN 102
あむ,編む,to knit,13,GODAN,Genki II,JPN 201
かんどうする,感動する,to be moved/touched (by . . . ) ,13,IRREGULAR,Genki II,JPN 201
がんばる,頑張る,to do one’s best; to try hard,13,GODAN,Genki II,JPN 201
みがく,磨く,to brush (teeth); to polish,13,GODAN,Genki II,JPN 201
やくそくをまもる,約束を守る,to keep a promise,13,GODAN,Genki II,JPN 201
あきらめる,,to give up ,14,ICHIDAN,Genki II,JPN 201
あげる,,to give (to others) ,14,ICHIDAN,Genki II,JPN 201
おくる,送る,to send,14,GODAN,Genki II,JPN 201
くれる,,to give (me) ,14,ICHIDAN,Genki II,JPN 201
そうだんする,相談する,to consult ,14,IRREGULAR,Genki II,JPN 201
ちゅういする,注意する,to give warning; to watch out ,14,IRREGULAR,Genki II,JPN 201
できる,,to come into existence; to be made ,14,ICHIDAN,Genki II,JPN 201
にあう,似合う,to look good (on somebody),14,GODAN,Genki II,JPN 201
プロポーズする,,to propose marriage ,14,IRREGULAR,Genki II,JPN 201
おろす,下ろす,to withdraw (money),15,GODAN,Genki II,JPN 201
かく,描く,to draw; to paint,15,GODAN,Genki II,JPN 201
かんこうする,観光する,to do sightseeing ,15,IRREGULAR,Genki II,JPN 201
きをつける,気をつける,to be cautious/careful ,15,ICHIDAN,Genki II,JPN 201
さがす,探す,to look for,15,GODAN,Genki II,JPN 201
さそう,誘う,to invite,15,GODAN,Genki II,JPN 201
さんかする,参加する,to participate ,15,IRREGULAR,Genki II,JPN 201
しゃべる,,to chat,15,GODAN,Genki II,JPN 201
しらべる,調べる,to look into (a matter) ,15,ICHIDAN,Genki II,JPN 201
する,,to decide on (an item) ,15,IRREGULAR,Genki II,JPN 201
そつぎょうする,卒業する,to graduate (from . . . ) ,15,IRREGULAR,Genki II,JPN 201
はっぴょうする,発表する,to make a presentation; to make public ,15,IRREGULAR,Genki II,JPN 201
ほけんにはいる,保険に入る,to buy insurance,15,GODAN,Genki II,JPN 201
みえる,見える,to be visible ,15,ICHIDAN,Genki II,JPN 201
よやくする,予約する,to reserve ,15,IRREGULAR,Genki II,JPN 201
チェックアウト（する）,,checking out,15,IRREGULAR,Genki II,JPN 201
チェックイン（する）,,checking in,15,IRREGULAR,Genki II,JPN 201
アイロンをかける,,to iron (clothes) ,16,ICHIDAN,Genki II,JPN 201
あさねぼうする,朝寝坊する,to oversleep ,16,IRREGULAR,Genki II,JPN 201
あつめる,集める,to collect ,16,ICHIDAN,Genki II,JPN 201
いれる,入れる,to put (something) in ,16,ICHIDAN,Genki II,JPN 201
おこす,起こす,to wake (someone) up,16,GODAN,Genki II,JPN 201
おごる,,to treat (someone) to a meal,16,GODAN,Genki II,JPN 201
おちこむ,落ち込む,to get depressed,16,GODAN,Genki II,JPN 201
かける（アイロンを）,,to iron (clothes) ,16,ICHIDAN,Genki II,JPN 201
かす,貸す,to lend,16,GODAN,Genki II,JPN 201
こまる,困る,to have difficulty,16,GODAN,Genki II,JPN 201
せつめいする,説明する,to explain ,16,IRREGULAR,Genki II,JPN 201
だす,出す,to take (something) out; to hand in (something),16,GODAN,Genki II,JPN 201
つれていく,連れていく,to take (someone) to (a place),16,GODAN,Genki II,JPN 201
なおす,直す,to correct; to fix,16,GODAN,Genki II,JPN 201
のりおくれる,乗り遅れる,"to miss (a train, bus, etc.) ",16,ICHIDAN,Genki II,JPN 201
みせる,見せる,to show ,16,ICHIDAN,Genki II,JPN 201
みちにまよう,道に迷う,to become lost; to lose one’s way,16,GODAN,Genki II,JPN 201
みつかる,見つかる,to be found,16,GODAN,Genki II,JPN 201
むかえにいく,迎えに行く,to go to pick up,16,GODAN,Genki II,JPN 201
むかえにくる,迎えに来る,to come to pick up ,16,IRREGULAR,Genki II,JPN 201
やくす,訳す,to translate,16,GODAN,Genki II,JPN 201
わらう,笑う,to laugh,16,GODAN,Genki II,JPN 201
いれる,,"to make tea, coffee, etc. ",17,ICHIDAN,Genki II,JPN 201
えらぶ,選ぶ,to choose; to select,17,GODAN,Genki II,JPN 201
おいのりする,お祈りする,to pray ,17,IRREGULAR,Genki II,JPN 201
おゆをわかす,お湯を沸かす,to boil water,17,GODAN,Genki II,JPN 201
かぎをかける,鍵をかける,to lock ,17,ICHIDAN,Genki II,JPN 201
かける（かぎを）,かける（鍵を）,to lock ,17,ICHIDAN,Genki II,JPN 201
かみをとかす,髪をとかす,to comb one’s hair,17,GODAN,Genki II,JPN 201
けしょうする,化粧する,to put makeup on ,17,IRREGULAR,Genki II,JPN 201
しゅうしょくする,就職する,to get a full-time job (at . . . ) ,17,IRREGULAR,Genki II,JPN 201
する,,"to wear small items (necktie, watch, etc.) ",17,IRREGULAR,Genki II,JPN 201
たからくじにあたる,宝くじに当たる,to win a lottery,17,GODAN,Genki II,JPN 201
たりる,足りる,to be sufficient; to be enough ,17,ICHIDAN,Genki II,JPN 201
なれる,慣れる,to get used to . . . ,17,ICHIDAN,Genki II,JPN 201
ぬぐ,脱ぐ,to take off (clothes),17,GODAN,Genki II,JPN 201
ひげをそる,,to shave one’s beard,17,GODAN,Genki II,JPN 201
りこんする,離婚する,to get a divorce ,17,IRREGULAR,Genki II,JPN 201
かける（パーマを）,,to have one’s hair permed ,17,ICHIDAN,Genki II,JPN 201
かる,刈る,to crop,17,GODAN,Genki II,JPN 201
すく,,thin out (hair),17,GODAN,Genki II,JPN 201
そめる,,to dye ,17,ICHIDAN,Genki II,JPN 201
そる,,to shave,17,GODAN,Genki II,JPN 201
そろえる,,to make hair even; to trim ,17,ICHIDAN,Genki II,JPN 201
パーマをかける,,to have one’s hair permed ,17,ICHIDAN,Genki II,JPN 201
あく,開く,(something) opens,18,GODAN,Genki II,JPN 201
あやまる,謝る,to apologize,18,GODAN,Genki II,JPN 201
おす,押す,to press; to push,18,GODAN,Genki II,JPN 201
おちる,落ちる,(something) drops ,18,ICHIDAN,Genki II,JPN 201
おとす,落とす,to drop (something),18,GODAN,Genki II,JPN 201
おゆがわく,お湯が沸く,water boils,18,GODAN,Genki II,JPN 201
かたづける,片付ける,to tidy up ,18,ICHIDAN,Genki II,JPN 201
かんがえる,考える,to think (about); to consider ,18,ICHIDAN,Genki II,JPN 201
きえる,消える,(something) goes off ,18,ICHIDAN,Genki II,JPN 201
ころぶ,転ぶ,to fall down,18,GODAN,Genki II,JPN 201
こわす,壊す,to break (something),18,GODAN,Genki II,JPN 201
こわれる,壊れる,(something) breaks ,18,ICHIDAN,Genki II,JPN 201
さく,咲く,to bloom,18,GODAN,Genki II,JPN 201
しまる,閉まる,(something) closes,18,GODAN,Genki II,JPN 201
たすかる,助かる,to be saved; to be helped,18,GODAN,Genki II,JPN 201
